County,Diabetes,Obesity,PM2.5,Median_Income,Uninsured,z_obesity,z_uninsured,z_income_protective,z_income_risk,Risk_Score,Risk_Rank,Risk_Percentile
Kleberg,16.0,42.0,10.5,52900.0,22,0.8320572152577583,-0.2456652826089235,-0.7198434689765001,0.7198434689765001,1.3062354016253348,68.0,73.62204724409449
Knox,13.0,40.0,6.7,55400.0,26,0.21046153091813943,0.5294773482316553,-0.5495250388400974,0.5495250388400974,1.2894639179898921,71.0,72.44094488188976
La Salle,18.0,44.0,,48700.0,26,1.4536528995973774,0.5294773482316553,-1.0059784316056566,1.0059784316056566,2.9891086794346893,20.0,92.51968503937007
Lamar,12.0,39.0,8.7,56300.0,22,-0.10033631125167004,-0.2456652826089235,-0.48821040399099247,0.48821040399099247,0.14220881013039893,134.0,47.63779527559055
Lamb,16.0,42.0,6.1,57100.0,28,0.8320572152577583,0.9170486636519447,-0.43370850634734365,0.43370850634734365,2.1828143852570467,36.0,86.22047244094489
Lampasas,12.0,38.0,7.8,71500.0,20,-0.4111341534214795,-0.633236598029213,0.5473256512383355,-0.5473256512383355,-1.5916964026890281,205.0,19.68503937007874
Lavaca,12.0,38.0,8.6,64100.0,18,-0.4111341534214795,-1.0208079134495023,0.04318309803458376,-0.04318309803458376,-1.4751251649055657,200.0,21.653543307086615
Lee,13.0,39.0,8.5,71100.0,23,-0.10033631125167004,-0.05187962489877881,0.5200747024165112,-0.5200747024165112,-0.67229063856696,174.0,31.88976377952756
Leon,12.0,38.0,,59500.0,25,-0.4111341534214795,0.3356916905215106,-0.2702028134163971,0.2702028134163971,0.1947603505164282,127.0,50.39370078740157
Liberty,14.0,40.0,9.8,72300.0,28,0.21046153091813943,0.9170486636519447,0.6018275488819844,-0.6018275488819844,0.5256826456880996,109.0,57.48031496062992
Limestone,14.0,40.0,8.5,53500.0,24,0.21046153091813943,0.1419060328113659,-0.6789670457437634,0.6789670457437634,1.0313346094732687,81.0,68.50393700787401
Lipscomb,13.0,38.0,6.6,67400.0,25,-0.4111341534214795,0.3356916905215106,0.26800342581463527,-0.26800342581463527,-0.3434458887146042,154.0,39.76377952755906
Live Oak,14.0,41.0,8.8,59200.0,25,0.5212593730879489,0.3356916905215106,-0.2906410250327654,0.2906410250327654,1.1475920886422248,75.0,70.86614173228347
Llano,11.0,39.0,7.7,71500.0,22,-0.10033631125167004,-0.2456652826089235,0.5473256512383355,-0.5473256512383355,-0.8933272450989291,182.0,28.74015748031496
Loving,10.0,33.0,7.8,86800.0,3,-1.9651233642705268,-3.927592779101673,1.5896744436731198,-1.5896744436731198,-7.48239058704532,251.0,1.574803149606299
Lubbock,13.0,36.0,5.4,57900.0,19,-1.0327298377610985,-0.8270222557393576,-0.3792066087036948,0.3792066087036948,-1.4805454847967612,202.0,20.866141732283463
Lynn,15.0,41.0,6.0,57300.0,20,0.5212593730879489,-0.633236598029213,-0.42008303193643143,0.42008303193643143,0.3081058069951674,118.0,53.937007874015755
Madison,13.0,40.0,8.5,53300.0,29,0.21046153091813943,1.1108343213620895,-0.6925925201546757,0.6925925201546757,2.013888372434905,42.0,83.85826771653542
Marion,13.0,41.0,9.0,47700.0,19,0.5212593730879489,-0.8270222557393576,-1.0741058036602176,1.0741058036602176,0.7683429210088089,97.0,62.20472440944882
Martin,13.0,39.0,6.9,81600.0,24,-0.10033631125167004,0.1419060328113659,1.2354121089894023,-1.2354121089894023,-1.1938423874297064,189.0,25.984251968503933
Mason,11.0,36.0,7.0,62400.0,27,-1.0327298377610985,0.7232630059418,-0.07263343445817004,0.07263343445817004,-0.2368333973611284,150.0,41.338582677165356
Matagorda,15.0,41.0,9.5,59000.0,26,0.5212593730879489,0.5294773482316553,-0.3042664994436776,0.3042664994436776,1.3550032207632818,65.0,74.80314960629921
Maverick,20.0,45.0,7.9,46100.0,34,1.7644507417671869,2.079762609912813,-1.1831095989475153,1.1831095989475153,5.027322950627515,8.0,97.24409448818898
McCulloch,13.0,39.0,7.0,47800.0,26,-0.10033631125167004,0.5294773482316553,-1.0672930664547615,1.0672930664547615,1.4964341034347468,60.0,76.77165354330708
McLennan,14.0,39.0,8.7,63400.0,22,-0.10033631125167004,-0.2456652826089235,-0.004506062403608978,0.004506062403608978,-0.3414955314569846,153.0,40.15748031496063
McMullen,16.0,43.0,8.4,71100.0,17,1.1428550574275678,-1.214593571159647,0.5200747024165112,-0.5200747024165112,-0.5918132161485904,171.0,33.07086614173229
Medina,13.0,40.0,8.5,70700.0,19,0.21046153091813943,-0.8270222557393576,0.4928237535946868,-0.4928237535946868,-1.109384478415905,187.0,26.77165354330709
Menard,13.0,38.0,6.7,45400.0,30,-0.4111341534214795,1.3046199790722341,-1.230798759385708,1.230798759385708,2.1242845850364627,37.0,85.8267716535433
Midland,12.0,38.0,7.1,94400.0,22,-0.4111341534214795,-0.2456652826089235,2.1074424712877837,-2.1074424712877837,-2.764241907318187,224.0,12.204724409448819
